|diff|    p a b ord est
  180128068665   15033606173717645971 4193029483984812099 10670520354665166690 15033606174034900025 15033605993906831360
  449998836560   12846086273220111811 11642394155629173707 7120513898518315981 12846086279003460432 12846085829004623872
  82480849735   11684867327493696139 11214224738073998623 5274727270082231088 11684867327173729465 11684867409654579200
  504992404875   9394013539919997413 4623314013949726107 8342071051741591184 9394013537469950581 9394014042462355456
  173038245563   12330587670979499431 8279321480258264749 3203430170034362383 12330587671941486267 12330587498903240704
  80817628584   11513522737221135247 40024168364870511 4422726367109177478 11513522735299222104 11513522816116850688
  43274504116   11002816206329510393 1450121423856479981 8622647349535138231 11002816200963819444 11002816157689315328
  157796947043   13407179649610113307 1992374377777519632 11489251991374422063 13407179649001302941 13407179806798249984
  336165073984   15043768440132790367 1442698587682595038 7538505195278199457 15043768443717290944 15043768779882364928
  140107477888   16474678568236829189 993321352981252516 11096662394286673477 16474678569720712320 16474678709828190208
  343377369344   10373263628641540661 3739732375151760296 4178432307816276633 10373263630792841472 10373263287415472128
  156694375208   14358611559471539387 8001699695266333147 12427980583046474582 14358611564263009064 14358611407568633856
  42420352938   17421546278086961893 11454270805952483709 16526144706422690376 17421546280252028842 17421546237831675904
  354095723644   12473195615067729433 3253315369342712479 2397470663370303530 12473195610633139324 12473195256537415680
  538357937582   14430295705674042697 10984557821405003414 10811910771492479241 14430295706011055534 14430295167653117952
  21329968089   13624203586267872071 2642037520497489583 10735630960382833469 13624203589581964327 13624203610911932416
  412681813932   15548682800260577657 3249250120203163108 4102777265288759646 15548682798372962388 15548683211054776320
  101577992148   17101277299731343591 6856341809929774880 9309094409465130401 17101277293936191444 17101277192358199296
  437995123342   15190255170711823117 11203506237600568623 8886611569401502531 15190255176544210290 15190255614539333632
  424316974402   14564719683852764617 4034999016591721158 2408207259084442998 14564719684558730562 14564719260241756160
  8576907295   15133951807011776017 6686728767879691072 12322319854093902047 15133951814527272929 15133951823104180224
  511582428451   14444832394484907691 648521151585976208 12699719166166777404 14444832398813143773 14444832910395572224
  353556264733   11096987874208589281 5788096303607628471 7592000891084251566 11096987875540437219 11096988229096701952
  24736574688   11799268315704839479 6720337726580465298 2276925989620618080 11799268320726363360 11799268295989788672
  251752820747   12377213130752217437 6062286370267207218 7883064657767403725 12377213137237889013 12377213388990709760
  291950053248   10964207100677245391 7649712254471630087 3229549161969416913 10964207098830014336 10964206806879961088
  357903797193   10857076636549112383 7374285018714817380 5249336638511673315 10857076633035437111 10857076990939234304
  41907151870   12876112440046405987 2390198529851006226 2978383562658182977 12876112433954710526 12876112392047558656
  319200275576   17826902873018250023 246120924738491108 5487903387950374756 17826902870443578248 17826903189643853824
  11508867056   9225025695487207549 2864588871736907518 4645585034690147008 9225025690834083856 9225025702342950912
  203375978974   12881084585991673169 10334084982412355049 7076116202989097371 12881084587004340702 12881084383628361728
  507497762239   14691496838086395043 8316800545235683493 10262096213852532908 14691496841473077825 14691497348970840064
  453211787648   11857162634041944053 8036679962403495267 2317006975650188549 11857162627538546304 11857163080750333952
  465213087588   10232877011526585341 1715779436355190626 4289417068725245302 10232877008482492260 10232876543269404672
  70428492653   11147877948339894239 6252888754095296611 371759651193100734 11147877954848193683 11147878025276686336
  139996517457   10674255835010583533 8929627622282097579 5751034048009417610 10674255835027297361 10674255695030779904
  293213935524   17024876825831162713 16498474251985870382 13794861373069109103 17024876820604491684 17024876527390556160
  14828319748   11608135810385179753 9305386056402607926 1332409205684575172 11608135806515295236 11608135791686975488
  166944201738   11936809675479301787 5225703824305564241 359987494964995720 11936809670987373578 11936809504043171840
  117899020742   16560528457497585371 5013543681569373539 11676487051316705545 16560528459825919546 16560528577724940288
  31337102766   15213423451423458623 4997469424350050661 14287285330858380360 15213423455385304494 15213423424048201728
  218811212208   9364856309025973537 5617993237347668006 8294395431312309858 9364856312416575920 9364856093605363712
  22847453871   10566263843363834737 10364515494610627868 3287035246937061408 10566263839126422865 10566263861973876736
  321265899680   9775813633756953023 4080467692457482715 5412232159832930910 9775813636383532896 9775813957649432576
  406562965583   15280665847952702903 10227858486129014615 6958082561908949542 15280665850105132977 15280666256668098560
  26369609652   9360996786260308619 1129910557680339634 2756639897556112520 9360996781422260300 9360996807791869952
  508619445491   13602843904396025387 604348976362727673 1467910912646593458 13602843907138573555 13602843398519128064
  523028292409   15245557174655283961 2968555991989726156 7992567644093716425 15245557174398247737 15245556651369955328
  378445765592   17312495958295582267 8665382252553979379 1731314099973622486 17312495953522990040 17312495575077224448
  15029829680   14845317944333964163 9479010354075393562 14472618260139466780 14845317941214904368 14845317926185074688
  318951263464   12322212196763793307 7841323459117767265 2076544787816847374 12322212199883207448 12322212518834470912
  71727651346   17569396399270209407 6797667514894062187 12270115100387744381 17569396395179435502 17569396466907086848
  459115729882   14816772860441788991 11431035387578069597 3323566792051507504 14816772864420484058 14816772405304754176
  143474278066   17511815185634407349 4286718960524872718 7364319849934782714 17511815186434735794 17511815042960457728
  310679069134   12470642974200044831 1340352660239683633 7033656855673584830 12470642979370278450 12470643290049347584
  207760215130   15809909788988498801 2576116157445732912 10194946015562139099 15809909789388524634 15809909581628309504
  32680967852   16676863475617556873 2094829096009990993 14891856818528863893 16676863472332439892 16676863505013407744
  133711688379   10795758458964873299 557433347566897103 5589250934826768099 10795758460681482939 10795758326969794560
  376163465723   18129969995749353887 745662094390811190 278451023018371679 18129969999537309189 18129970375700774912
  133951683542   17637282380421738157 8362715033750917931 16163122168356608545 17637282379877549098 17637282513829232640
  440174199907   15817802534959731181 1192368529116895300 8535893714778330134 15817802535429913501 15817802975604113408
  419670624349   16899828395516793703 13444515366710511596 5027343755848950334 16899828390122588253 16899827970451963904
  372163400448   12891354191686300609 6222777984345913208 322358841632257721 12891354194395190016 12891353822231789568
  50871298648   9575431311666968491 419815441508867615 938828565835313528 9575431312893438552 9575431262022139904
  68451936319   11262051386593899761 338633477917821321 1236985163492580792 11262051381156882495 11262051312704946176
  146805043015   11643762308376372949 6187410252632007359 6164301951545249439 11643762314255216455 11643762167450173440
  493372841928   12047619874046790541 3742029009420945363 11690571025062893932 12047619878774906824 12047619385402064896
  307064114184   11789311912287508759 2446506412959149487 8089347977928929788 11789311911136162808 11789312218200276992
  181477050397   11188423433367772129 274092190014906353 7735901859258320077 11188423434585503715 11188423616062554112
  14867226184   11646282262625366819 8357959903266355723 4250358746456169175 11646282262968262216 11646282248101036032
  349481701787   16838067656335803167 16310629315372548774 16641512639533804932 16838067652289859995 16838067302808158208
  524624292865   15953431607962532107 14132717712314983599 14589150803071511775 15953431608312501247 15953432132936794112
  360515695832   10662511445884916687 3238971145732867869 1544431939853043966 10662511450818808616 10662511811334504448
  515657442504   11358972673712672543 7128800263845668934 8373866443455313705 11358972678839215304 11358972163181772800
  505559589181   17970326191675242071 13810144330899393782 7679436076536386869 17970326190953799997 17970325685394210816
  321384257212   13959784134554718071 10070046025071258789 2273756693280259192 13959784133929560388 13959784455313817600
  437634607951   12661385036531869633 416775511738935210 12066410989451851111 12661385030089692337 12661385467724300288
  514365613522   13386262117625614027 2151733503722222369 5314041530765626306 13386262112445425106 13386261598079811584
  446593849733   16520627956041949697 7920573517929031466 15878788209668668056 16520627953670727291 16520628400264577024
  150553909576   10126010759974689341 6641667513080405684 480794786086052223 10126010760673253704 10126010610119344128
  349677971886   12691826200513665001 4146510798311179067 1962565447488437848 12691826196972934738 12691826546650906624
  409174254310   12464124971088112589 3137854941438328063 10725850674029338942 12464124975945637146 12464125385119891456
  543530354468   13814211872499134141 8234649205002129499 828715148425334691 13814211870800804060 13814212414331158528
  311592898456   16961126528709790067 13865786656794365868 4710519114196614936 16961126531619205224 16961126843212103680
  277145842222   16267350669603041927 12081295000069864540 7454155140098755889 16267350676394078766 16267350399248236544
  402360366841   12872728794183243163 3590822433399609285 11888608305315378122 12872728792408525063 12872729194768891904
  136876784574   11169057776977552513 4340989271116316508 4201789370393378820 11169057780885750850 11169057917762535424
  91697044625   12556741733092261487 3178176051021579083 2918740331557520491 12556741739271019665 12556741647573975040
  298516341521   16437787597874439107 4558994957824119044 16986111840509711 16437787597176708335 16437787895693049856
  304120551634   12913498787524758887 12893170757253180677 1285356932397755978 12913498781806274350 12913499085926825984
  247506553635   12772854205780734251 1405176437338163696 8320839196970727082 12772854204054784803 12772853956548231168
  98220556576   14794463213710691531 12204289090143301841 12673822898479180311 14794463216156622560 14794463314377179136
  173308637528   13066180738973942453 129705563771589273 3005324128918642154 13066180742403322200 13066180569094684672
  28273077891   16563874360273538117 5732988670437972612 13601954292432096759 16563874363335184765 16563874391608262656
  264311700579   17287487450201062189 13207996738218063294 1997558810475828926 17287487447415159907 17287487183103459328
  471623862625   11098612676511485383 2581145704961209452 8745025343829105172 11098612679394789729 11098612207770927104
  105758146459   15370865902449458689 1795664914230273614 1414460440121404069 15370865898322476955 15370865792564330496
  184022446856   16089427245240961879 16057934640205672351 3711617616782258939 16089427243619077368 16089427427641524224
  30154954681   15189220941339876229 10616726382078883418 11825482335213025518 15189220943942641735 15189220974097596416
  89412641108   18436759499086343069 11253773688647265594 467462430669525558 18436759498030358868 18436759408617717760
  74447289146   11979626754774622777 10871478338099990008 8496889641560168116 11979626760299313978 11979626685852024832
  279184261795   10111042132998006007 4434503759847885691 5383885882191907853 10111042138003063459 10111041858818801664
  392334393012   12842387465826199741 5118096569391828754 9172292973104284596 12842387464223178420 12842387071888785408
  131650510608   16107842179871527667 11530874340078428001 12576515572802626182 16107842180034027280 16107842048383516672
  369365980903   13273580720695571587 3299514256361101356 1182211843448326572 13273580717296424679 13273580347930443776
  161100251324   13317648932537251609 13278090817192369331 6549898553079330367 13317648935071957180 13317648773971705856
  27327375198   12169160477045990557 4648248690418432671 4555230249482304894 12169160472920676514 12169160500248051712
  328177907434   18267642753622434091 13732050713682799886 12743716080270765262 18267642753815770858 18267642425637863424
  381059939291   13069380527166123133 3015114616602151197 9338029897256616043 13069380528991452123 13069380147931512832
  10721666685   12548503021468617431 3854027176067366948 8639256580020788537 12548503017668716157 12548503006947049472
  378621734976   16349816693148023341 12245154174766272260 14579919037276248214 16349816691244584896 16349817069866319872
  26256071310   15513451583491785851 13831074209519657431 5663430154556682187 15513451586222021262 15513451559965949952
  91761227881   13666481937252765847 7180024556813955808 12464166339889488514 13666481940261947287 13666482032023175168
  342494493813   11653327569742429163 2951879908979061971 2502828377726507888 11653327576117330827 11653327918611824640
  271468690968   17770671691761567791 4954944331962362747 4155790852842884870 17770671694507442664 17770671965976133632
  459903889448   14734604158262054419 13253683523551276135 7740911633741797666 14734604162241687592 14734603702337798144
  460956143760   16990748140720839323 1795045423839341034 9897122782266774440 16990748147420532880 16990747686464389120
  260146633828   14872375547506257619 12865275955787862319 2728545037354978381 14872375547686380444 14872375807833014272
  115892644876   12754898811646315729 8868954230363305680 4512893151542520323 12754898815774004212 12754898931666649088
  449562506884   12469914763165153087 10787360561679191443 248264189843623490 12469914763402638980 12469914313840132096
  540334380220   15475960974030615449 14474161534376309072 2302030728234414816 15475960971659291460 15475961511993671680
  241318286613   10253578393728527491 9351705437561966065 5286758878358251474 10253578389515457813 10253578148197171200
  143061311116   9787217954330845181 1286374176261841546 5054451317838261416 9787217949191414132 9787218092252725248
  273682757181   13293446595999315853 10228423130490139241 7388713751672385185 13293446597703857725 13293446324021100544
  311858682557   9947241326386523947 2938005951120564535 1666698021306379915 9947241326417926845 9947241014559244288
  458880580496   17444600336020550543 46400342344463180 9087421240771482968 17444600338762302576 17444600797642883072
  1369097856   16887537630374117831 12833462347724377268 14304783313987647962 16887537628107585920 16887537629476683776
  277797453358   9665073067117059853 148095483415059848 6222059078510994122 9665073067725636050 9665073345523089408
  532955003044   11599794362585956781 5190008293795711174 10094510888632451903 11599794363523663708 11599794896478666752
  12588149782   14056323789563223589 9246868006630749022 3797158776656453908 14056323787843955734 14056323775255805952
  163041830918   9234277160844884789 9215567043111379666 5019349250624348054 9234277156220889094 9234276993179058176
  204325620512   15258573980896825417 10411440004823434334 12597680467132253367 15258573973856815904 15258573769531195392
  434019649312   17169026467313081521 13690038405313410441 16059811870425318057 17169026465818851552 17169026899838500864
  365147013792   15831146287105520257 15489850854579773695 11595654524342114924 15831146283571789152 15831146648718802944
  74236343788   17852605298528506801 3165535311323752507 13855872136253071510 17852605299218401812 17852605373454745600
  256565045664   16117222822287671177 4095501008416878663 10209774554873089896 16117222825026655840 16117223081591701504
  297265535920   18101410265643004217 2809450446547035677 4415470219899602253 18101410263903757392 18101410561169293312
  508959802296   14832954423292781879 10156094435088882338 14091545627225579243 14832954426890535864 14832953917930733568
  211354615358   14547401061511361077 1789714918188147655 9291660126680365240 14547401063947271742 14547400852592656384
  358312609171   13261949356334080459 2917389586255549239 109765903549344309 13261949355619220077 13261949713931829248
  262852175680   16902310411326347911 2798087784783590976 1519469266675780434 16902310404855306432 16902310667707482112
  280287384043   11432275787762206319 2093571358026453019 9773973307867333715 11432275784181354987 11432275503893970944
  159728959150   12334575272607759833 3031852270907285228 5700743180537557331 12334575267848225106 12334575427577184256
  135713296432   12601175249233611457 621611155192793747 9229362239486380632 12601175247188955184 12601175111475658752
  123391403650   10400623658618378557 5532397038110115371 1275919855340711790 10400623658152453762 10400623534761050112
  283367041995   15765816687439073503 6405427854201623431 6054378299950508908 15765816682964194357 15765816966331236352
  267900044689   12678655235070827231 3956488591885203706 3174682160189942356 12678655228961733231 12678655496861777920
  202823209268   17058443727977005111 8845662313502392761 12580107757855150768 17058443720698138932 17058443517874929664
  262639742357   18273165536980589569 10895487659844211516 7731429699609380149 18273165535183924629 18273165272544182272
  35640998667   9581961294698779387 7950355091182497804 3449979222647723160 9581961297220500235 9581961261579501568
  390821290071   11355527785096374973 4034447392934264414 118932811767830932 11355527784073240663 11355527393251950592
  137370211328   13167778875268737283 6009574045309869225 4936764736707558327 13167778879406281728 13167778742036070400
  411730167928   17210228489460161693 4308678818318219556 14765843546448025302 17210228487335982984 17210228899066150912
  258526718956   14688979728570698143 14369115013376900685 11620087931121405682 14688979725869951980 14688979467343233024
  343612377888   12008127885028554077 6320511302119444355 10491497551204307477 12008127882654856416 12008128226267234304
  403798556924   10738633602511157747 9559773241536411288 5757776349707077716 10738633604147249404 10738633200348692480
  435070455907   14894044546003831457 13225835141653086581 8795548493361616197 14894044547922767773 14894044982993223680
  131122280616   10921822967364522287 4745178898496563015 8316259849203659482 10921822963774732456 10921822832652451840
  70094907200   17893603891256671507 17047377702484706088 5405611586172413978 17893603892936349888 17893603963031257088
  197941504459   13533612448031739719 6312827758508749184 282240980124964869 13533612450934707765 13533612648876212224
  304418592007   9978508129701273319 1755945308037477647 9445522391108121944 9978508131136902407 9978507826718310400
  497210493371   12968576322227625079 2923437889883178579 3701837978166837562 12968576319595874747 12968575822385381376
  133919088977   16214542089034466623 5802646859774390250 13287240356195902835 16214542089196872017 16214541955277783040
  43013265501   10838633740020293503 9346908341305824267 6829687783432023744 10838633739881654179 10838633782894919680
  131632578140   15051329988108027613 2616683756069635771 2347895758121991443 15051329989714002340 15051330121346580480
  450425415486   10750939582558137353 9637301656250337376 2304112031330859318 10750939583572973762 10750940033998389248
  332616368142   14259609511829506259 6039620666668619527 3193123406340004652 14259609514196795406 14259609181580427264
  375415467812   15376924821120293089 10204325314190706551 4922487566516547845 15376924825729536220 15376925201145004032
  21746725489   16846642411288725943 9019833147768730626 11867013661968008595 16846642415739908721 16846642393993183232
  489799166552   17998984948534257097 15850989602588906103 389593050024326977 17998984945771358808 17998984455972192256
  18586291436   16855228457700423337 7547812439167333200 143745989384184251 16855228461708194580 16855228480294486016
  97372511672   13160362433675686199 9074719656565923686 5813945850970347373 13160362438734209608 13160362536106721280
  174525578434   12054868285930711079 9501024571905944075 3986164936910086434 12054868291038413630 12054868465563992064
  105929493500   11675751466547864197 2396963634521143212 2442679372460495491 11675751464678181884 11675751358748688384
  432429387932   15539396298053699299 5364295786389600387 12673984119783536350 15539396303417192292 15539396735846580224
  265372503840   13479913869658662061 7882968874056516636 8865843736838806585 13479913865859764000 13479913600487260160
  418573856704   15771570296647532363 11163640140617374119 5626027112030232872 15771570292105531456 15771570710679388160
  66978364521   10776603664457018833 9316182855430916965 1054157768884082187 10776603667923944343 10776603734902308864
  236806532130   13328294481670322201 12874471077943321501 2351070072642227659 13328294482358365218 13328294245551833088
  17138660766   16960960830817033529 11483481220637360511 12225348700739753393 16960960834094970270 16960960816956309504
  133928394063   14710407989283425651 6375951113300763312 10376951351183668217 14710407983385353551 14710407849456959488
  90358189144   15572466842862701363 13385843615060259629 1934049348442255802 15572466837433388120 15572466747075198976
  306830748760   14869791157997905627 10499798452981207273 12465591261704432449 14869791162826861656 14869790855996112896
  489509688514   14901536438253425357 14605481531690042881 7002497842019355474 14901536445222950082 14901535955713261568
  277854594605   18033504443120061263 3764776412211372574 3140709573896573730 18033504445183252947 18033504723037847552
  211021614606   17932810562494006121 5715691499868555755 11919010471317090694 17932810559676108302 17932810348654493696
  427333897482   14443203867994079459 7200029887923122369 1268709211969315793 14443203861497105674 14443203434163208192
  183991442870   18438375508529629673 16979980402042036462 6497158288134491337 18438375506719105610 18438375690710548480
  23344922496   18118837850552341381 6946170996838239813 16637141102610329600 18118837843814465408 18118837820469542912
  480970590071   14466359632867241591 1220420150426316703 7578815173083929333 14466359630014760823 14466359149044170752
  129393009094   11060015919414403891 6546821403997529858 8703415952938794365 11060015921708097082 11060016051101106176
  336354754889   13998813486551539013 4156130667590051796 12808052439306761293 13998813483210227383 13998813819564982272
  191979061726   12895345244080170841 556565888626615613 5034920942619324482 12895345241419678174 12895345049440616448
  105291394188   11514407816900615771 7613507448119180787 9255045189408253070 11514407817685816180 11514407922977210368
  271143622788   17723006212161643483 8598836771703236653 16421723751896127985 17723006209032411268 17723005937888788480
  11113373452   17978460955005493951 11057312075572994753 3639222055748523085 17978460960814751988 17978460971928125440
  29437630240   14416755817387419623 7641009597472748095 4779023967237752132 14416755810906314528 14416755781468684288
  142001711271   11661149703142800649 4284003256411590425 1738541806990344743 11661149702330111833 11661149844331823104
  103342351966   15630557146985280091 15090086601375896457 10332347054620668950 15630557141563136418 15630557244905488384
  6590796622   14469604905814387613 410591356311181552 2764258764987240904 14469604900778568882 14469604907369365504
  3933529793   12225335642701596341 2756319226583138296 327757867404295105 12225335644889225535 12225335648822755328
  287858954780   15438459662957065349 11688052826920786071 9554671199702785075 15438459657252442652 15438459369393487872
  305783286685   12584135673711465863 4585445913219615382 93065951343368976 12584135673996727395 12584135979780014080
  419126697663   15950024329631809853 2451889484282562840 2227095872297356917 15950024327275618625 15950024746402316288
  393592393981   13806958536750509413 8120618727378105459 13728240622265600485 13806958542530326275 13806958936122720256
  247860011504   11816652429428768569 4988336506170744110 7632636406206197730 11816652426476543504 11816652674336555008
  78367917657   9838958830703255131 7568197286885173385 702710332541255216 9838958832064690599 9838958910432608256
  339817642156   16807549600010621719 3321958490198425130 13110976519802960102 16807549597885249708 16807549258067607552
  423802214516   11112079444156350103 6053680405912383521 4160477291602065125 11112079449990142068 11112079026187927552
  16647051713   13450665481140583081 13347282299430331217 12592815823351801407 13450665475029739071 13450665491676790784
  50512071664   17856975981611792057 7675951714949019089 7657284904581548872 17856975982687226864 17856975932175155200
  180207872134   14427554997325699841 13285430634867138779 3681190875965890767 14427555004468828026 14427555184676700160
  446203562045   17417113453099675729 15784504986868159844 2202683181084178799 17417113453152045117 17417113006948483072
  319836829546   10190672109421707191 3439591727108199311 8199551642475096689 10190672109274052458 10190671789437222912
  59353984945   10373842784842076411 1915811615457522922 5841635526331816489 10373842789397295025 10373842730043310080
  388721434614   10567655134304164367 6608896273474614847 1108611500400428545 10567655132904447990 10567654744183013376
  204497082701   11162043926989842959 4059615337421763608 7572466127430173936 11162043928591869619 11162044133088952320
  525423778549   11380738621110407071 2839227777347987916 9098145958390563582 11380738620789005045 11380738095365226496
  441430901332   11115470575036202789 615498839191008423 7240258434602576037 11115470578128715180 11115471019559616512
  374458421083   13828537579924059101 10501427872883766122 8925596874307160848 13828537576871030949 13828537951329452032
  262143458624   17733970531459411247 5590965302120416454 12391102064740728540 17733970529984429376 17733970267840970752
  335767921237   12219525499239228763 9915075550880003935 6898904331549484160 12219525493613665707 12219525829381586944
  66177844608   11605482600097774321 9480487326009338351 5818241924797361506 11605482603951307392 11605482670129152000
  42789740292   15404255799991900459 4779732296652691722 12125002996665774941 15404255804466372356 15404255761676632064
  419774699871   12970838194835837633 2162098186408255330 4745886570611269952 12970838197540644513 12970838617315344384
  6191331506   13531479599118107993 8006070690727930722 11528355429751813054 13531479602509658290 13531479596318326784
  38287732356   10651183585175114329 5067581064625449221 3927418853063449059 10651183581321260676 10651183543033528320
  11115758834   15997156396108043473 13660297612008918914 2219788194764505518 15997156400722803470 15997156411838562304
  7805423566   14796708521549505137 12161313952297282825 4366311628021961843 14796708524926521294 14796708517121097728
  508011330013   12290164540035842081 1224842764100327492 8342366548636928293 12290164545408353827 12290165053419683840
  485977100002   17895636341484918617 4932499365475480301 10811888921367067067 17895636346496487138 17895635860519387136
  341236083615   10828311222707327053 5192918156678095695 887878532006854968 10828311226497274977 10828311567733358592
  536856139510   11082758917153062943 6287387351683210519 6596219274846034670 11082758912265513226 11082759449121652736
  355117699114   16669706043533741201 15460008066305953662 4370884653375128317 16669706039434285098 16669705684316585984
  433651712076   14295364870536579811 4952332094373521551 10810403746502788271 14295364866063990708 14295365299715702784
  103948933011   9976191262251921871 4458337910588630993 9708463469739755715 9976191259667519379 9976191155718586368
  123174727881   15082741948072187993 5139751803273594337 3842030289143876212 15082741945865785143 15082742069040513024
  183381805279   16737967952439082597 9778452555373194529 16056764246831022995 16737967947597236447 16737967764215431168
  223574879269   14194553054144025323 3971971321618166609 8911452749384707035 14194553054013297627 14194553277588176896
  330613131371   14957973551351948573 986569561207325383 404747057335050835 14957973556953872277 14957973887567003648
  334465016836   12270022760512639193 6416710605220397361 11638293716720830739 12270022765445438460 12270023099910455296
  426435632944   18316936396924459271 17388295392950214216 4381763026346598845 18316936404010311888 18316936830445944832
  534709952739   10037010075620539967 9781285304724887823 2741557390377081352 10037010076607340771 10037009541897388032
  264072762150   13122569287528976887 3317871773207086390 4206026776503030824 13122569286997938982 13122569022925176832
  495566980460   15611357070447263633 11987567286144232063 7214793132751616261 15611357077294283412 15611357572861263872
  540099704557   14427606303374004487 13959636307072076928 8572277425314803225 14427606302311282413 14427605762211577856
  352179913352   12371113649043272477 4719544492918797503 2655514846742887221 12371113650659721864 12371113298479808512
  490855235072   13952044386133702837 3447032161435499672 3561590543791565573 13952044384309509632 13952043893454274560
  28378039578   10964372805342222337 1557564400573914364 66035254670680253 10964372804757715686 10964372833135755264
  391182209709   9460656146437825261 7131754164091030633 8943596359392221090 9460656150551276883 9460656541733486592
  489600016836   16811117776521838687 10547069215596518394 12466270804207421734 16811117783211351612 16811118272811368448
  123830298979   12872392867722429737 4620088725028636902 5792414523222192389 12872392868041091427 12872392744210792448
  244898712894   9419112836415302197 5752406320067580082 7234516933090354191 9419112839288311102 9419112594389598208
  305276773260   9234446622067643719 2715721344780829851 1623086650005125543 9234446623246508940 9234446317969735680
  352484667417   16116357023388846373 6139188357723085007 7744345560875894019 16116357018913681433 16116356666429014016
  470809393257   18348697797612502351 3677208305576895382 10658177437416100815 18348697794135275625 18348697323325882368
  416963354992   14470585255660799119 759060706868093038 10018323448580816990 14470585254777986704 14470585671741341696
  32971959148   12589082650906031027 9563520051094095416 10075257718018105574 12589082649621419156 12589082682593378304
  433294058522   11702149095015207467 2502946850997081374 895409183543530344 11702149100125903846 11702149533419962368
  351524798830   12157590691319716943 4481885652284779906 5409877187250221196 12157590690913763694 12157590339388964864
  283715786460   9461512239887091859 9290297633171793784 7299443719096467305 9461512245495682780 9461511961779896320
  14932743662   13348553865731294323 2323433995974949691 7990013873461788799 13348553861737977326 13348553846805233664
  59847570211   12230900217597454873 2703451139389947381 4391607791536124779 12230900217323359453 12230900277170929664
  528119937764   10809310340710610849 10641361556975742789 9728514600956630459 10809310335902071524 10809309807782133760
  552957354323   17434828891992413119 8950255442730973442 14827034798531814834 17434828884849483437 17434829437806837760
  268664054121   15563095342747652839 7041174389499674295 8844632398805347707 15563095340807610007 15563095609471664128
  349189197772   17458412107529931809 671809318870897122 17411893886018793831 17458412112388575180 17458411763199377408
  517585034078   17676892940587408301 157219878586561909 396920210904857795 17676892937804897118 17676892420219863040
  133587964918   10249308874574754769 5355374982322880133 6332871667841609111 10249308878134481910 10249308744546516992
  10322514208   10639969609721759003 7154025338912631029 1949239505784197770 10639969613619326688 10639969623941840896
  35170699749   17477138681904723593 9325094779345816272 4306799247752265808 17477138680414357989 17477138645243658240
  441765026515   15282892332018904771 2085405472631907188 14330882327903709366 15282892325949318445 15282892767714344960
  537786410054   13646143828564849187 10426807966929551748 2774756762203653327 13646143827657792442 13646144365444202496
  326831240349   10590512820732365861 3887171303092410837 7435729836495627286 10590512818244088989 10590512491412848640
  486918619136   12868606641369915211 12444722792083350625 6424474730840313422 12868606638757740544 12868607125676359680
